0.000000	2.105419	music
2.105419	13.320000	speech
13.320000	15.661742	laughter
15.661742	18.690968	speech
18.690968	21.462388	laughter
21.462388	28.745420	speech
28.745420	31.130130	laughter
31.130130	34.653485	speech
34.653485	36.801872	laughter
36.801872	39.465872	speech
39.465872	41.399420	laughter
41.399420	51.819098	speech
51.819098	54.418647	laughter
54.418647	57.877550	speech
57.877550	59.510324	laughter
59.510324	61.830582	speech
61.830582	63.334453	laughter
63.334453	74.033421	speech
74.033421	77.707163	laughter
77.707163	79.640712	speech
79.640712	83.013680	laughter
83.013680	86.837809	speech
86.837809	89.201035	laughter
89.201035	139.580713	music
139.580713	152.019875	speech
152.019875	154.576456	laughter
154.576456	155.135036	speech
155.135036	156.789295	laughter
156.789295	162.718843	speech
162.718843	165.382843	laughter
165.382843	171.355359	speech
171.355359	173.546714	laughter
173.546714	185.663618	speech
185.663618	187.812005	laughter
187.812005	188.735812	speech
188.735812	190.583425	laughter
190.583425	196.534457	speech
196.534457	197.630134	laughter
197.630134	208.135748	speech
208.135748	212.711812	laughter
212.711812	222.508458	speech
222.508458	225.086522	laughter
225.086522	241.306845	speech
241.306845	244.980587	laughter
244.980587	256.109233	speech
256.109233	259.095491	laughter
259.095491	269.257362	speech
269.257362	272.952588	laughter
272.952588	275.079491	speech
275.079491	278.688782	laughter
278.688782	283.930846	music
283.930846	293.942331	speech
293.942331	296.262589	laughter
296.262589	298.711700	speech
